web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author,click_user,click_user-href,user_name,user_follow,user_fans,user_star,user_location,user_id,user_desc,user_sex
"1749655034-1","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","","","","","","","","","","","","","","","","","",""
"1749655034-2","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","","","","","","","","","","","","","","","","","",""
"1749655044-3","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","你以为的新会陈皮 不一定是新会的皮","https://sns-webpic-qc.xhscdn.com/202506112317/7be828058b4b69952aa9c515e7a1db3f/1000g0081o8igtlsd60004a6p1l64p5c5klv92i0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/639c1bd9000000002202b77b?xsec_token=AB6CvayHje3wzxwsSzDPySAbR0F2gAs_bSANHqBo87MPA=&xsec_source=","以为看了我这篇文就懂分辨了吗？
其实在没有同时对比的情况下
90%的消费者是看不出来了
	
如果外地皮还做旧染色
看起来颜色更老
那真的几乎没有消费者能看出来
	
更何况如果是混杂，
在新会皮里混一点外地皮……
那真的掩盖得非常好[破涕为笑][破涕为笑]
	
淘宝上销量数一数二的陈皮品牌就是
外地皮➕染色做旧
=正宗新会10年/20年/30年…陈皮
真的没有那么多10年二三十年的陈皮
有，那在淘宝上也是买不到的。","[{""revie"":""黎小清那个老树果的皮好薄，你这样辨别不对，囊厚是嫩树。还是实际点，要闻味道。2022-12-17赞1Sarah绣华仔作者就是九制陈皮味，没有什么老味。2022-12-18赞回复""},{""revie"":""精品新会陈皮小云你那个外地皮不对吧，青皮就是这样囊，你买点广西皮和福建皮回来对比一下吧2022-12-181回复""},{""revie"":""萱草花确实是这样2022-12-17赞回复""},{""revie"":""霂。混杂的太多了，好的里面掺坏的2022-12-161回复""}]","11","Sarah绣华仔","霂。","https://www.xiaohongshu.com/user/profile/59da58fe20e88f082ad773af?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABnmQjgJ6B5Glczmbbxv9FIo1Tkvy5He6Z3Mh8NEXNL_c=&xsec_source=pc_comment","霂。","398","55","311","IP属地：河北","小红书号：953905712","","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#female"" data-v-55b36ac6=""""></use></svg><span class=""gender-text"" data-v-4947d265="""">30岁</span></div>"
"1749655049-4","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","你以为的新会陈皮 不一定是新会的皮","https://sns-webpic-qc.xhscdn.com/202506112317/7be828058b4b69952aa9c515e7a1db3f/1000g0081o8igtlsd60004a6p1l64p5c5klv92i0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/639c1bd9000000002202b77b?xsec_token=AB6CvayHje3wzxwsSzDPySAbR0F2gAs_bSANHqBo87MPA=&xsec_source=","以为看了我这篇文就懂分辨了吗？
其实在没有同时对比的情况下
90%的消费者是看不出来了
	
如果外地皮还做旧染色
看起来颜色更老
那真的几乎没有消费者能看出来
	
更何况如果是混杂，
在新会皮里混一点外地皮……
那真的掩盖得非常好[破涕为笑][破涕为笑]
	
淘宝上销量数一数二的陈皮品牌就是
外地皮➕染色做旧
=正宗新会10年/20年/30年…陈皮
真的没有那么多10年二三十年的陈皮
有，那在淘宝上也是买不到的。","[{""revie"":""黎小清那个老树果的皮好薄，你这样辨别不对，囊厚是嫩树。还是实际点，要闻味道。2022-12-17赞1Sarah绣华仔作者就是九制陈皮味，没有什么老味。2022-12-18赞回复""},{""revie"":""精品新会陈皮小云你那个外地皮不对吧，青皮就是这样囊，你买点广西皮和福建皮回来对比一下吧2022-12-181回复""},{""revie"":""萱草花确实是这样2022-12-17赞回复""},{""revie"":""霂。混杂的太多了，好的里面掺坏的2022-12-161回复""}]","11","Sarah绣华仔","萱草花","https://www.xiaohongshu.com/user/profile/635d55950000000018028177?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABH7OdZmjJ2zlIIBnlHqfduFwhG2OmiHWOLZI87myqF8o=&xsec_source=pc_comment","萱草花","93","181","0","IP属地：广西","小红书号：6783217657","还没有简介","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#male"" data-v-55b36ac6=""""></use></svg><!----></div>"
"1749655054-5","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","你以为的新会陈皮 不一定是新会的皮","https://sns-webpic-qc.xhscdn.com/202506112317/7be828058b4b69952aa9c515e7a1db3f/1000g0081o8igtlsd60004a6p1l64p5c5klv92i0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/639c1bd9000000002202b77b?xsec_token=AB6CvayHje3wzxwsSzDPySAbR0F2gAs_bSANHqBo87MPA=&xsec_source=","以为看了我这篇文就懂分辨了吗？
其实在没有同时对比的情况下
90%的消费者是看不出来了
	
如果外地皮还做旧染色
看起来颜色更老
那真的几乎没有消费者能看出来
	
更何况如果是混杂，
在新会皮里混一点外地皮……
那真的掩盖得非常好[破涕为笑][破涕为笑]
	
淘宝上销量数一数二的陈皮品牌就是
外地皮➕染色做旧
=正宗新会10年/20年/30年…陈皮
真的没有那么多10年二三十年的陈皮
有，那在淘宝上也是买不到的。","[{""revie"":""黎小清那个老树果的皮好薄，你这样辨别不对，囊厚是嫩树。还是实际点，要闻味道。2022-12-17赞1Sarah绣华仔作者就是九制陈皮味，没有什么老味。2022-12-18赞回复""},{""revie"":""精品新会陈皮小云你那个外地皮不对吧，青皮就是这样囊，你买点广西皮和福建皮回来对比一下吧2022-12-181回复""},{""revie"":""萱草花确实是这样2022-12-17赞回复""},{""revie"":""霂。混杂的太多了，好的里面掺坏的2022-12-161回复""}]","11","Sarah绣华仔","精品新会陈皮小云","https://www.xiaohongshu.com/user/profile/5852a10b5e87e72ac5077e08?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABq_YgQrBiViFjp0uQwdeZbBI1MqXTiooEg6jl9k44rTU=&xsec_source=pc_comment","精品新会陈皮小云","683","1410","9253","IP属地：广东","小红书号：111801130","教你选好皮底靓陈皮😁
好陈皮分享：H-winny 
自摘，自晒，自存，坚持生晒陈皮","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#female"" data-v-55b36ac6=""""></use></svg><span class=""gender-text"" data-v-4947d265="""">巨蟹座</span></div>"
"1749655059-6","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","你以为的新会陈皮 不一定是新会的皮","https://sns-webpic-qc.xhscdn.com/202506112317/7be828058b4b69952aa9c515e7a1db3f/1000g0081o8igtlsd60004a6p1l64p5c5klv92i0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/639c1bd9000000002202b77b?xsec_token=AB6CvayHje3wzxwsSzDPySAbR0F2gAs_bSANHqBo87MPA=&xsec_source=","以为看了我这篇文就懂分辨了吗？
其实在没有同时对比的情况下
90%的消费者是看不出来了
	
如果外地皮还做旧染色
看起来颜色更老
那真的几乎没有消费者能看出来
	
更何况如果是混杂，
在新会皮里混一点外地皮……
那真的掩盖得非常好[破涕为笑][破涕为笑]
	
淘宝上销量数一数二的陈皮品牌就是
外地皮➕染色做旧
=正宗新会10年/20年/30年…陈皮
真的没有那么多10年二三十年的陈皮
有，那在淘宝上也是买不到的。","[{""revie"":""黎小清那个老树果的皮好薄，你这样辨别不对，囊厚是嫩树。还是实际点，要闻味道。2022-12-17赞1Sarah绣华仔作者就是九制陈皮味，没有什么老味。2022-12-18赞回复""},{""revie"":""精品新会陈皮小云你那个外地皮不对吧，青皮就是这样囊，你买点广西皮和福建皮回来对比一下吧2022-12-181回复""},{""revie"":""萱草花确实是这样2022-12-17赞回复""},{""revie"":""霂。混杂的太多了，好的里面掺坏的2022-12-161回复""}]","11","Sarah绣华仔","黎小清","https://www.xiaohongshu.com/user/profile/58ef41fe50c4b42b6f749cb6?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABN-TWFMwveFGD0qHutIFIdth1YiOPgNgpmmjFTCACN_E=&xsec_source=pc_comment","黎小清","87","886","1259","IP属地：广东","小红书号：helloyuki","我是农二代，在新会梅江有自家柑园，10月～12月，鲜果采摘期。欢迎各位来采摘～想购买陈皮，可以点击我的小红书店铺购买哦～
也欢迎各位一起交流～@梅江陈皮小清","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#female"" data-v-55b36ac6=""""></use></svg><!----></div>"
"1749655061-7","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","新会陈皮｜大部分人喝的都不是正宗陈皮","https://sns-webpic-qc.xhscdn.com/202506112317/a35af3de27f04bae35937edabdfed9ca/1040g00831ie41646ni6g5q00ld9j9d5ksilc3pg!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/684406d100000000230165ca?xsec_token=ABA2-uJGbhHzd1HxfqMTUsozfcC5a32r7JptGXZu1q4JM=&xsec_source=","新会陈皮｜大部分人喝的都不是正宗陈皮
今天来聊聊，你们感兴趣的话题：陈皮真假、陈皮功效以及陈皮如何挑选
.
✅不得不说，新会陈皮这几年价格越来越高。
为什么?一是有很多名人院士的推荐，二是在2020年之后，越来越多的人认识到了新会陈皮的功效及好处。新会柑皮，三年为陈，三年以上，口感香甜，年份越久功效越好。这就是新会陈皮火起来的原因。
·
✅高年份的陈皮，很多都是假的。
随着市场需求量增大，高年份陈皮的数量是有限的、二十年以上的更是少之又少。假如你遇到高年份的陈皮，价格又非常之地，那就需要谨慎辨别了，大概率是假陈皮。
.
✅为什么有的陈皮会苦？
之所以会苦，可能是陈皮本身的含糖量比较少，或者煮久了水放少了，跟泡茶泡久了是一个道理。陈皮本身是含有柠檬苦素的，如果陈皮性状表现为显性基因则可能会有点苦。新会陈皮的每一片都是与众不同的，所以一棵树产生的柑果，有的光照充足喝起来很甜，有点在树底下光照不足，则可能会苦。原因还是比较复杂的。
.
✅陈皮可以怎么搭配？
陈皮隔年后挥发油含量减少，里面的黄酮类化合物含量会相对增加，这些也是陈皮的营养物质的体现，这些物质对身体是非常好的。
陈皮性温，所以可以和各种搭配，比如枸杞、玫瑰、蜂蜜、白茶、山楂等等，不同搭配有不同的功效体现，想了解喝法搭配也可以。#陈皮 #陈皮白茶 #红茶 #滋补养生 #新会陈皮 #真假陈皮鉴定 #健康养生","[]","赞","茄子咔嚓","","","","","","","","","",""
"1749655073-8","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","","https://sns-webpic-qc.xhscdn.com/202506112317/536b2e3e6378923fe533ff53e0b1066f/1040g2sg31hvg7iqk68e05pfvelh2phn8vqudqg0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/68350e52000000002100d71d?xsec_token=ABLJDaPqCunhPKtDOXQSJzLQG9Urig2LKSLtCEQfaJo4M=&xsec_source=","别再乱花钱，买到工业陈皮了#一分钟干货教学 #真假辨别 #陈皮#新会陈皮","[{""revie"":""陈香工坊现在的工业皮已经做得很真的，很多人都分辨不出来05-27广东赞1新会陈皮侠作者确实，科技进步得很紧要05-27广东赞回复""}]","17","新会陈皮侠","陈香工坊","https://www.xiaohongshu.com/user/profile/5f9c6e07000000000101f35b?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABn7dpHJ3cPGZITea7UaEbOSUVjJmvSfXOHpKt77OG97Y=&xsec_source=pc_comment","陈香工坊","37","237","2789","IP属地：广东","小红书号：1056543919","新会本地人，扎根新会，养生达人
分享陈皮的鉴别、养生搭配及收藏知识
带你解锁“一两陈皮一两金”的秘密","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#male"" data-v-55b36ac6=""""></use></svg><span class=""gender-text"" data-v-4947d265="""">白羊座</span></div>"
"1749655084-9","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","新会陈皮求鉴定真假","https://sns-webpic-qc.xhscdn.com/202506112317/7b8c47c53ac84d63ca46dfa220ce25af/1040g2sg31g1okdeb06dg5n9ef8ok680sv7l30ko!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/67f5d6fb000000001d02653e?xsec_token=ABfsxVYDGl6F8t9rpnNQccvviAU65Be0T9d3k-Yqag1eU=&xsec_source=","商家说9年陈皮。
刚买的陈皮到了，有没有参考下是真还是假的。
打开闻味道很香，看油包有些又看不到。#陈皮","[{""revie"":""雨儿🐳🐳都是断片？04-09赞2萝卜爱吃兔子🐰作者是啊，全部断片的04-09赞回复展开 1 条回复""},{""revie"":""美丽赵美丽04-09赞2美丽赵美丽家人们可以帮我也看看吗04-09赞回复展开 1 条回复""},{""revie"":""晴天有雨还可以，试味04-11赞回复""},{""revie"":""slientstorm没看出来04-10赞回复""},{""revie"":""Jasmine看起来是真，我这个2016年纯生晒的也是差不多这个颜色，有些油包看不到是正常，哪怕同一个果园同一批果，总有“漏网之鱼”长得不好，但是陈香味应该是一致的04-09赞回复""},{""revie"":""新会陈皮农村小伙五六年的皮，可以喝04-09赞回复""},{""revie"":""老陈新会陈皮皮不错，年份应该没那么高04-09赞回复""},{""revie"":""皮哥外观挺好的，品质就需要鉴别一下04-09赞回复""},{""revie"":""新会能匠陈皮商行是否能持续的香？04-09赞回复""},{""revie"":""淼淼（只卖好皮）挺好的呀，看起来品相不错的04-09赞回复""}]","6","萝卜爱吃兔子🐰","淼淼（只卖好皮）","https://www.xiaohongshu.com/user/profile/5cf494420000000017038534?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABXRWJhStGQTb9d9nLX8-YJ2g7Hd6DVb2Q1EvIoC4C6pM=&xsec_source=pc_comment","淼淼（只卖好皮）","268","347","684","IP属地：广东","小红书号：722387678","只做正宗干仓新会陈皮，工艺皮靠边，一分钱一分货，又想皮靓好喝又想产区好又想价格便宜，报丝，臣妾做不到。我不能给你最便宜的，但我绝对保证给你最正宗的，所见即所得。","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#female"" data-v-55b36ac6=""""></use></svg><!----></div>"
"1749655089-10","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","新会陈皮求鉴定真假","https://sns-webpic-qc.xhscdn.com/202506112317/7b8c47c53ac84d63ca46dfa220ce25af/1040g2sg31g1okdeb06dg5n9ef8ok680sv7l30ko!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/67f5d6fb000000001d02653e?xsec_token=ABfsxVYDGl6F8t9rpnNQccvviAU65Be0T9d3k-Yqag1eU=&xsec_source=","商家说9年陈皮。
刚买的陈皮到了，有没有参考下是真还是假的。
打开闻味道很香，看油包有些又看不到。#陈皮","[{""revie"":""雨儿🐳🐳都是断片？04-09赞2萝卜爱吃兔子🐰作者是啊，全部断片的04-09赞回复展开 1 条回复""},{""revie"":""美丽赵美丽04-09赞2美丽赵美丽家人们可以帮我也看看吗04-09赞回复展开 1 条回复""},{""revie"":""晴天有雨还可以，试味04-11赞回复""},{""revie"":""slientstorm没看出来04-10赞回复""},{""revie"":""Jasmine看起来是真，我这个2016年纯生晒的也是差不多这个颜色，有些油包看不到是正常，哪怕同一个果园同一批果，总有“漏网之鱼”长得不好，但是陈香味应该是一致的04-09赞回复""},{""revie"":""新会陈皮农村小伙五六年的皮，可以喝04-09赞回复""},{""revie"":""老陈新会陈皮皮不错，年份应该没那么高04-09赞回复""},{""revie"":""皮哥外观挺好的，品质就需要鉴别一下04-09赞回复""},{""revie"":""新会能匠陈皮商行是否能持续的香？04-09赞回复""},{""revie"":""淼淼（只卖好皮）挺好的呀，看起来品相不错的04-09赞回复""}]","6","萝卜爱吃兔子🐰","新会能匠陈皮商行","https://www.xiaohongshu.com/user/profile/5cc90434000000001000c7d2?channel_type=web_note_detail_r10&parent_page_channel_type=web_user_board&xsec_token=ABTiQHn4hlLJkWjdIpyTCQjYnsyULeIVukeL2IevSrggk=&xsec_source=pc_comment","新会能匠陈皮商行","1097","1096","1105","IP属地：广东","小红书号：k13431745796","新会土生土长本地人，新会源头发货，只做高品质正宗新会陈皮﹣--@新会能匠陈皮商行","<div class=""gender"" data-v-4947d265=""""><svg class=""reds-icon"" width=""12"" height=""12"" data-v-4947d265="""" data-v-55b36ac6=""""><use xlink:href=""#male"" data-v-55b36ac6=""""></use></svg><!----></div>"
