web-scraper-order,web-scraper-start-url,titl,imag-src,click,click-href,conte,revie,star,author
"1750098233-8","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","爱看抠油包的集美，这就是陈皮的油室","https://sns-webpic-qc.xhscdn.com/202506170223/bcc907bdec05de5ea27f906d5f6e0935/1040g2sg31aki2ogf6q3g5p8p0ph92o06reelni0!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/67455c8a00000000070394af?xsec_token=ABFBq3YEgR7SoLyKVRhL3NF2ZiVyv-adXozdpdKkLwEI8=&xsec_source=","挖油包的视频🔥了，好多姐妹问是什么东西。
	
今天拍了一个打灯照油包的视频给大家解惑。
陈皮油包，也叫油室，里面有丰富的内含物，说白了，看陈皮好不好，有没有效功，主要看油包的品质。
	
陈皮是橘子皮吗？
不是哈，只有茶枝柑的皮晾晒三年以上才能称为陈皮，不要喝橘子皮，上火不说，还有可能农～残超～标。
毕竟茶枝柑这个品种，生来就是为了做陈皮的，果肉难吃，送人都没人要。
	
喝陈皮的好处，太多了，健～脾开～胃，滋～阴润～喉，年份越久越好喝，越有用。
#新会陈皮 #解压 #陈皮油室 #陈皮油包","[{""revie"":""晚煜原来这是油包，吃那么多年都不知道呢2024-11-26赞3卡皮呆拉作者都是精华哦2024-11-26赞回复展开 2 条回复""}]","17","卡皮呆拉"
"1750098242-9","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","终于买到干仓慢陈10年新会陈皮","https://sns-webpic-qc.xhscdn.com/202506170223/ceedef5f7c1477ec55e908c4c94be4c6/1040g00830nnhulq4n0605n4u3c5lhel7ql1663g!nc_n_webp_mw_1","","https://www.xiaohongshu.com/search_result/64d8f374000000001201ba19?xsec_token=AB7LWTVqWBwGGxpg7jgdzmDe0jI5NFiG-buuhuvWDzj2w=&xsec_source=","盒马自营品牌盒补补的新会陈皮，20g特价也要39.9，约一千块一斤的价格。
特意和淘宝巧福真、葵记、柑故里的10年袋装对比过，真的会抛离对手。
不吹不擂，其实4家冲泡都没看到薄薄柑油，但淘宝3家更差，各有苦果。
尽管大家都有GI认证，入口的润泽柑味只有盒马明显。
看看单瓣颜色，外皮正常应该有浅有深有颜色过渡，内皮也应该看到脉络。
于是总是深深颜色的淘宝几家，有没“水分”，有没有特价时给次品，正价时给良品，敢不敢说自己真的干仓慢陈（慢仓），还是机器模拟温度湿度做成的“十年”，只能说不得而知。
仓储和时间成本，确实没办法那么便宜。
最终入口那一刻，大家输赢立辨。
	
#陈皮 #新会陈皮 #正宗新会陈皮 #陈皮真假","[{""revie"":""南一不能在线上下单，线下和线上不一样。我买的线上是湿仓2024-03-1811momo怎么看出是湿仓的？2024-08-06赞回复""},{""revie"":""星光游乐园果然不太一样，线上线下2024-11-03赞回复""}]","7","Amy许"
"1750098248-10","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","新会陈皮村游一游~🈵眼都是💰的味道🤣","https://sns-webpic-qc.xhscdn.com/202506170223/4184cc30e38e8ee21ee1c853e8685ecd/03031j016bvozk99wad010oie3j0bc0lv4!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/63c8b854000000002202bccc?xsec_token=ABAbJH_b6qGRaZzUxeD2y7EsP_Qvhsx_8jhcL0JTz9SKM=&xsec_source=","哇塞~🈵街🈵巷都是陈（jin）皮（qian）的味道~真是两眼放光目不睱及…
原来陈皮🈶地理标志GI防伪标识的~真是涨知识了~下次买陈皮的亲记住认住图一呢个红色标记啦~
听说三宝扎好🉐~阳康后一直喉咙痒痒不断~冲几粒试试，过几天静待效果
#笔记灵感 #新会陈皮 #正宗新会陈皮 #陈皮 #家乡的味道 #地理知识 #新年布置","[{""revie"":""荏苒你好！请问有陈皮老板联系方式吗？2023-12-04赞8sancl_满天星作者你要买什么样的呢2023-12-04赞回复展开 7 条回复""},{""revie"":""小红薯63B98EDA你好，哪里可以下单2023-02-02赞回复""},{""revie"":""希望美术🌈武清区赵老师呵呵2023-03-05赞回复""}]","16","sancl_满天星"
"1750098255-11","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","📍江门·新会陈皮村","https://sns-webpic-qc.xhscdn.com/202506170223/dee78e2d439b6bf7fc9864a83177204f/1040g2sg31io6ibm51e705n2824ckm26g8b156d0!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/684e58c0000000002002a6c1?xsec_token=ABln5wTKDPiZZummslKJ4lPvqdx74HD6tw4gqNrMw1e04=&xsec_source=","#我的日常 #珠海 #江门 #江门新会陈皮村 #江门陈皮村 #江门打卡 #陈皮 #浪漫的生活记录着 #冷门又有趣的城市 #新会","[]","赞","ＢＯＢＯＢＡＬＬ"
"1750098262-12","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","","https://sns-webpic-qc.xhscdn.com/202506170223/2dfb9f7c03087696350e038afa0ca60d/notes_pre_post/1040g3k031grodo91384g497nn5bdv43de3v99l0!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/681074b2000000002300eef4?xsec_token=ABFWEEYfuFdEDQbyZes_R8FBNIet95WjCNPRoUsH17ysg=&xsec_source=","拼爹爹买的陈皮不知道真假，请高人看看#陈皮","[{""revie"":""honey小熊作者已经退了，谢谢大神们的指点，微懂30%置顶评论04-30赞回复""},{""revie"":""新会能匠陈皮商行陈皮是陈皮，但不是我们广东新会的陈皮。04-29赞4honey小熊作者多谢多谢04-29赞回复展开 3 条回复""},{""revie"":""honey小熊作者拼爹爹上产品描述上是广东陈皮。三瓣相连，片张分明。那是陈皮吗04-29赞3新会陈皮-自有果园也没骗你，毕竟没写广东新会陈皮，假如需要新会陈皮可以看看我家的，茶坑的04-29赞回复展开 2 条回复""},{""revie"":""得閒飲茶如果你买的是新会陈皮，它是假的04-29赞2honey小熊作者不是新会，有大神说是椪柑水果皮04-29赞回复展开 1 条回复""},{""revie"":""小颖自己比较一下04-2913cc怎么卖？04-291回复展开 2 条回复""},{""revie"":""小小余同学担心买到假皮科技皮可以看看哈。自己家种的几颗树。今年又晒了几十斤左右，。不怎么打药。非常健康，就是有些外皮不是好靓仔，台风疤也有。喜欢的朋友仔可以看看，开始有一点点花香味了04-2913小小余同学04-29赞回复展开 2 条回复""},{""revie"":""新会陈皮～良妈一眼假的东西，能退则退了05-08赞1honey小熊作者嗯退了的05-081回复""},{""revie"":""汲潮新会陈皮－陈海璇水果皮04-30赞2莎莎的沙这是不是05-04赞回复展开 1 条回复""},{""revie"":""6~别人送的，说是有12年了04-29赞1Wu这个可以04-29赞回复""},{""revie"":""momo记住一句话，便宜没好货04-29赞1新会陈皮-自有果园真理04-29赞回复""}]","9","honey小熊"
"1750098268-13","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","新会陈皮真假辨别！码住，跟着抄作业✅","https://sns-webpic-qc.xhscdn.com/202506170223/003a2182269cc0dfc192e7644f4a0018/1040g00831icnnojmgc005pcm83f8h66ibsjgb1g!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/68429bae00000000120004e0?xsec_token=AB5_AJZbhrQCeWi2nEm-Oh_ndbz2i0gKh0BLK0UT_H8NQ=&xsec_source=","#新会陈皮 #正宗新会陈皮 #新会陈皮自产自销 #好茶推荐 #孕妇陈皮 #陈皮泡水 #陈皮 #陈皮茶 #纯天然无添加剂 #陈皮怎么选 #花茶#代饮茶#新会陈皮 #陈皮 #陈皮怎么选 #新会陈皮果农#新会大红皮 #正宗新会陈皮 #新会陈皮推荐 #新会特产 #爱如陈皮愈久愈珍#新会陈皮真假 #辨别新会陈皮 #新会陈皮科普 #新会陈皮知识","[]","赞","冯伯新会陈皮"
"1750098282-14","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","自家生态果园来告诉你新会陈皮是什么？","https://sns-webpic-qc.xhscdn.com/202506170223/985d4234e5e8c3310eddf68454bb18cf/notes_pre_post/1040g3k831ild5jvf08705nqu9jh08h4gk0c0ujg!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/684b7fc90000000012006581?xsec_token=ABrRLJNG--q8ocKRvOdj7RzSEECN-BDpP75daHl2wRzvE=&xsec_source=","陈皮说白了就是橘子皮，但不是所有的橘子皮都能叫做新会陈皮，为什么呢？这个就要从新会陈皮的源由开始说起来了，（如图二所示）因为新会地处三条江河的交汇之处、河流的冲击平原之上，河流把上游的很多矿物质都冲刷到新会的这块土地上来，所以新会的土壤里面就富含有很多的微量元素，在这片土地上种植新会柑，柑树就会吸收这些营养物质，取下来柑的果皮，经过漫长的岁月陈化后，就会有💊用性，💊用价值~这个就是人们经常所说的“一方水土养一方人”！这个也是正宗新会陈皮跟其它地方种植的普通橘子皮最大的区别。#新会陈皮
刚刚跟大家说到新会陈皮的由来，就是三江交汇之处，河流冲击之上，越离三江交汇之处越近的地方，我们就叫做一线产区（因为土壤里的矿物质含量越高）如：东甲、西甲、大滘、梅江、城南、茶坑、天马、天禄~以此类推（如图三所示），从而就延伸出来网上所说的一线、二线、三线产区~同等年份下的陈皮，产区越聚中，价格就越高，因为地租贵，种植面积少，俗话说“物以稀为贵”。但是网上很多很多的商家都是打着一线产区的旗号，拿三线甚至外地皮充当核心产区卖，大有人在～大家网上购买打醒十二分精神，擦亮眼睛就好了。#陈皮知识
说完了陈皮的产区，现在来跟大家说说陈皮的年份，年份也是决定陈皮好坏，价格高低一个很重要的标准。俗话说“三年陈，五年药，十年丹”，陈皮的保存过程是需要每年翻晒、排酸、氧化的，随着年份的增长，陈皮油包里面的黄酮物质开始慢慢的转化，逐年所散发出来的气味，所冲泡之后的口感都略有不同，这个也是每个陈皮玩家，所追求的陈皮可囤，可玩性。但是陈皮市场混乱，我以本地人的身份告诉你们，我们本地人其实吃的最多的，都是3~5年左右的皮。不要麻木的去追求高年份陈皮，市场的老皮本就不多，少避坑，少踩雷。
还有陈皮的种植方法，由高到低具体可以分为圈枝（纯正的血脉无性繁殖）、原枝（柑驳柑）、驳枝（嫁接红柠的树头）。不过不同的种植方法，体现到陈皮上，年份高了之后，💊用性，💊用价值都大差不差。
最后再总结一下，新会陈皮从产区，年份，还有种植方式上，我觉得网上购买陈皮，产区（只要果子摘下，离开了树，本地人都辨认不出来是那个产区的皮），种植方式（不管是圈枝原枝驳枝都是商家说了算，不是现场摘，看不到柑的树头，无从考究），年份（浅年份的皮，还是可以通过氧化的品相、气味、虫蛀、口感、能大概，是大概能判断出来属于多少年左右）。","[{""revie"":""郁人愈心🍀☘你们那边有多少年的新会陈皮历史了？？3天前湖北赞1顺其自然作者新会种柑取皮的历史可追溯到700多年前的宋代，早在宋代，新会陈皮就已成为南北贸易的“广货”之一，行销全国和南洋、美洲等地区2天前广东赞回复""}]","2","顺其自然"
"1750098289-15","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","第一次买陈皮","https://sns-webpic-qc.xhscdn.com/202506170223/605b715f177a43013356be9da0abd15b/notes_pre_post/1040g3k831h26duqv3ue049kocoai7p1hq655q6g!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/68170c35000000002100423d?xsec_token=ABHbpn2gAqYLsCxgmzYF1Pcf8eAiauYuoFY6yNkIDFbbQ=&xsec_source=","想着夏天了多喝水就在一个卖中草药的地方买了陈皮，老板说是新会陈皮，第一次买也不知道真假，买成80一两，识货的朋友能不能帮忙看看👀#陈皮 #滋补养生 #新会陈皮","[{""revie"":""新会陈皮不错05-04赞2徐不错作者价格买贵了没05-041回复展开 1 条回复""},{""revie"":""新会陈皮那么皮🍊皮是好的，价格贵了点05-04赞3糖糖山姆可以帮我看看吗大哥05-05赞回复展开 2 条回复""},{""revie"":""陈金健鉴别陈皮  ，有条件尽量煮（抛开产区/价格/年份; 抛开线上买线下买或者熟人买），让身体去感受它，别人无法代替。无论新皮旧皮 ， 都比较讲究方法（比茶叶，更讲究）。方法简单概括下（茶水比例为1:50，如果一片皮即3瓣皮，加水约350毫升~450亳升，如果一瓣皮即1/3片皮，加水约150毫升~180亳升，如果一个人喝，用1/3片即可）: 洗皮（醒皮）→煮皮→反复煮皮→煮到6~10泡每泡煮的时间适当加多15~30秒（在上一泡基础上）; 开水煮4分钟（冷水煮，水沸后继续煮4分钟）。看汤色，试口感【口感，分热饮和冷饮法（放凉20分钟后饮）】，第一次煮（想鉴别的），要单独，不要搭配其他茶，喝原味。05-24广东1回复""},{""revie"":""陈皮屿茶食日记（新会陈皮）皮是新会皮，但好像年份上有点做假看看我家6年和9年的梅江陈皮都没有那么好看的颜色，下次可以考虑一下我家的梅江陈皮，回去一对比便知道口感和味道的区别05-23广东赞回复""},{""revie"":""小柑家只卖好陈皮可以的05-14赞回复""},{""revie"":""新会陈皮-自有果园也不便宜，但是看不出产区，可以喝05-14赞回复""},{""revie"":""种柑者煮水直接感受辨别是不是好皮， 煮水方法  ：用透明煮水壶，先用200ml 开水洗整片皮，注意是内囊朝下，煮1分钟倒掉，醒皮完成，然后皮水比是1整片皮（即是三瓣皮）：加入500mL的清水，内囊朝上煮3～4钟，出汤不要浸皮\n①  看汤色（颜色，通透度；是否混浊，如果汤色混浊就基本上为工艺皮，好的皮是金黄透亮的。）② 看内囊，是否易烂（温馨提示，生晒皮久煮不烂，Q弹，纹理清晰，有韧性，如果一煮即烂就不要喝了，正宗的新会陈皮是久煮不烂的）③最后一步，看口感（分热饮冷饮；好的圈枝皮，无论新皮或老皮，热饮冷饮俱佳，圈枝以甜/润/香/醇为佳（不苦，不酸，不辣，不麻，不涩）；驳枝会有一点柠檬酸，但也是甜润的05-13赞回复""},{""revie"":""日月看皮应该是工艺，煮一下应该是不耐煮的就是了05-11赞回复""},{""revie"":""刘铃铃 滋补批发商4++到6++05-09赞回复""},{""revie"":""有时候50克80元，1斤800元，如果是真的，价格算适中。我自己摘的新皮非核心区都要200一斤了。05-04赞回复""}]","3","徐不错"
"1750098296-16","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","新入手大红，如何","https://sns-webpic-qc.xhscdn.com/202506170223/bd5f404123f1970ee31f38f65a722caa/notes_pre_post/1040g3k831h4n1r1u3i6g4a7mlvdtqsdgs0t0ri0!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/6819a064000000002001c070?xsec_token=ABtW79BvvBkbQxsAaw1aMSv9CxBZPD9im-_1BMckFsWiM=&xsec_source=","#凭实力大红 #陈皮 #阿方家陈皮","[{""revie"":""爱中医的新会妹说是多少年的皮？看着像有点轻工艺，烘过05-06赞4Binnan不难作者2019的05-06赞回复展开 3 条回复""},{""revie"":""匹儿这轻工艺了05-06赞3Binnan不难作者是太黑了吗。05-06赞回复展开 2 条回复""},{""revie"":""夜有千晴感觉你手机排出来颜色比较深，不过大红糖分高，本来色就会深一点06-01广东赞1Binnan不难作者是的，色调有关系。大红会深一点，内行人06-01浙江赞回复""},{""revie"":""卖陈皮的新会女孩成色不错05-06赞1Binnan不难作者哈哈那就好，新手05-06赞回复""},{""revie"":""🇹 🇦 🇾 🇱 🇴 🇷要这种05-25湖北赞回复""},{""revie"":""不吃香菜轻工艺05-20河北赞回复""},{""revie"":""鑫泷堂颜色不对05-18广东赞回复""},{""revie"":""新会陈皮那么皮🍊对比下我家2019年大红颜色，你的这个看起来感觉好黑，多少有点轻工艺在05-14赞回复""},{""revie"":""聚聚皮这个呢05-13赞回复""},{""revie"":""李李李🍊粤来柑🏠万匠2018年的，你对比一下05-07赞回复""}]","5","Binnan不难"
"1750098307-17","https://www.xiaohongshu.com/search_result?keyword=%25E7%259C%259F%25E5%2581%2587%25E6%2596%25B0%25E4%25BC%259A%25E9%2599%2588%25E7%259A%25AE&source=web_user_page","陈皮的真实年份怎么判定？教你快速分辨⚠️","https://sns-webpic-qc.xhscdn.com/202506170223/75b074fd7cc2e6c3cd3a62a12839cfa9/1040g2sg30s64nrq3io004bcbla47iiavf7jt188!nc_n_webp_prv_1","","https://www.xiaohongshu.com/search_result/656af5c7000000003c013c94?xsec_token=ABHyklNxi2XQwjRSSCFLA21QzrgjcjOseeLZ97cuXWkcI=&xsec_source=","新会陈皮历史有数千年之久，在民间素有一年新、三年陈、六年和、九年药的说法，不同年份的陈皮不仅在气味 、香气和回甘都有差异，那么不同年份的陈皮有什么区别呢？
【3年皮】
√皮质厚实呈猪须纹，内囊淡黄色，带刺鼻香气，茶汤有果酸香甜味，适合做菜品；
【5年皮】
√皮质偏厚，内囊呈浮松的浅黄色，茶色青黄，适合消化能力弱的人群；
【15年皮】
√皮质轻薄，内囊脱落呈土灰色，茶色呈黄红色，清香扑鼻，醒神怡人，是泡茶饮的佳品；
【20年皮】
√皮质轻薄易碎、多有虫眼，内囊风化剥落，茶汤色如琥珀，陈香醇厚，有老药材的味道，更为平和，梳理气机 ，适合药用；
#陈皮年份#陈皮区别#新会陈皮#陈皮知识#养生 #中医养生 #陈皮功效#新会陈皮科普","[{""revie"":""迷失香这是不是工艺皮2023-12-09414兰兮Lancy作者是2023-12-091回复展开 13 条回复""},{""revie"":""ly大家可以帮我看看么，说是新宝堂 15年品种大红皮，泡的水不是很黄，不知是不是放少了，我只丢了一瓣2024-11-02赞9ly2024-11-021回复展开 8 条回复""},{""revie"":""天然藤艺请问我这个是什么陈皮01-08赞5天然藤艺回复 柑源美新会陈皮 : 啊，那能吃吗02-15赞回复展开 4 条回复""},{""revie"":""淡淡的月光可以帮忙看看吗？2024-11-10赞5淡淡的月光2024-11-10赞回复展开 4 条回复""},{""revie"":""K_0802_Y商家非说这是五年的01-18赞4陈皮Vicky02-23赞回复展开 3 条回复""},{""revie"":""隔壁刘哥哥2024-10-31赞3隔壁刘哥哥2024-10-31赞回复展开 2 条回复""},{""revie"":""季三岁是小趴菜博主 博主这皮咋样呀2024-04-0922懒是一种情绪感觉跟我的好像是东甲嘛2024-04-13赞回复展开 1 条回复""},{""revie"":""YUKI这个是工艺皮吧，号称20年，苦是苦的了01-10赞2ö小妞假01-11赞回复展开 1 条回复""},{""revie"":""ManTang可以幫忙看看嗎？香港買的2024-11-19赞2ManTang2024-11-19赞回复展开 1 条回复""},{""revie"":""alisa老师，帮忙看看这个，说是15年的新会东甲，是嘛2024-11-02赞2alisa2024-11-021回复展开 1 条回复""}]","372","兰兮Lancy"
